Glc_ext,G6P,100,100
G6P,F6P,72,72
F6P,FBP,81,81
FBP,GAP,81,81
FBP,DHAP,81,28
DHAP,GAP,81,
GAP,3PG,186,
3PG,PEP,149,
PEP,Pyr,114,
G6P,6PG,28,
6PG,KDG,2,
KDG,GAP,2,
KDG,Pyr,2,
6PG,Ru5P,26,
Ru5P,X5P,10,
Ru5P,R5P,16,
X5P,GAP,10,
X5P,TK-C2,10,
R5P,S7P,7,
TK-C2,S7P,7,
S7P,TA-C3,7,
S7P,E4P,7,
E4P,F6P,3,
TK-C2,F6P,3,
TA-C3,F6P,7,
GAP,F6P,7,
Pyr,AcCoA,90,
AcCoA,Acetate,41,
AcCoA,Cit,20,
Cit,Icit,20,
Icit,aKG,20,
aKG,SuccCoA,9,
SuccCoA,Succ,5,
Succ,Fum,10,
Fum,Mal,13,
Mal,OAA,14,
Isocit,Succ,1,
Isocit,Glyox,1,
Glyox,Mal,1,
AcCoA,Mal,1,
PEP,OAA,27,
OAA,Cit,20,
